X;Y;osm_id;type;name;operator;wheelchair;access;opening_hours;fee;supervised;for_everyone;for_child;for_women;for_men;drinking_water;toilets_disposal;toilets_position;paper_supplied;handwashing;changing_table;com_insee;com_nom
-0.0164101;46.4518214002669;node/5365955485;toilettes_publiques;;;yes;yes;;no;;no;;yes;yes;;flush;;;;;"79201";Pamproux
-0.1560393;44.8920923004782;node/5387452421;toilettes_publiques;;;;;;;;;;;;;;;;;;"33394";Saint-Émilion
1.2659484;45.8366015003671;node/539586823;toilettes_publiques;;;;;;yes;;;;;;;;;;;;"87085";Limoges
-0.5977157;43.421188700542;node/540007510;toilettes_publiques;;;;;;;;;;;;;;;;;;"64300";Lacq
-1.0671034;43.7292913005395;node/5410298507;toilettes_publiques;;Mairie de Saint-Paul-lès-Dax;yes;yes;24/7;no;no;yes;;;;;;;;;;"40279";Saint-Paul-lès-Dax
-1.0653305;43.7286708005395;node/5410298508;toilettes_publiques;;Mairie de Saint-Paul-lès-Dax;yes;yes;24/7;no;no;yes;;;;;;;;;;"40279";Saint-Paul-lès-Dax
-0.6296824;44.8053293004856;node/5424657917;toilettes_publiques;;;yes;;24/7;no;;;;;;;;;;;;"33318";Pessac
1.4920093;46.2375116003041;node/5424716842;toilettes_publiques;;;;;;;;;;;;;;;;;;"23176";La Souterraine
1.1628214;44.8237047004841;node/5426121912;toilettes_publiques;;;;;;;;;;;;;;;;;;"24577";Vézac
-0.5656201;46.7785910002056;node/5440606021;toilettes_publiques;;;;;;;;;;;;;;;;;;"79103";Courlay
-1.6684534;43.3853336005419;node/5451929852;toilettes_publiques;;Ville de Ciboure;limited;yes;;no;;yes;;;;no;;;;;no;"64189";Ciboure
1.2574598;45.8296978003681;node/5457561560;toilettes_publiques;;;yes;yes;;yes;;;;;;;;;;;;"87085";Limoges
-1.2033403;44.6311164004992;node/5463154990;toilettes_publiques;;;;;;no;;;;;;;;;;;;"33529";La Teste-de-Buch
-1.4123744;43.7930450005383;node/5464276413;toilettes_publiques;;;;yes;;;;;;;;;;;;;;"40328";Vieux-Boucau-les-Bains
0.1974412;46.3587269002834;node/5464861022;toilettes_erp;Total;;;;24/7;;;;;;;;;;;;;"86082";Valence-en-Poitou
-0.1743873;45.4293643004216;node/5464861024;toilettes_erp;Total;;;;;;;;;;;;;;;;;"16276";Reignac
-1.5152027;43.4817022005419;node/5480543338;toilettes_publiques;;Commune d'Anglet;;yes;;no;no;yes;;;;;flush;;;yes;;"64024";Anglet
-0.5634777;44.813335000485;node/5482212442;toilettes_publiques;;;;yes;;no;;;;;yes;;;urinal;;;no;"33063";Bordeaux
-0.2484724;46.646277400231;node/549679554;toilettes_publiques;;;yes;;;no;;;;;;;;;;;;"79202";Parthenay
-0.252294;46.6490027002305;node/549679560;toilettes_publiques;;;yes;;;;;;;;;;;;;;;"79202";Parthenay
1.5657315;45.4266949004219;node/5500044116;toilettes_publiques;;;;;;;;;;;;;;;;;;"19276";Uzerche
